bnds,year,height,lat_bnds,lon_bnds,tas,climatology
1.0,2097,2.0,-0.5,179.375,279.962,2.6377563
1.0,2098,2.0,-0.5,179.375,280.06366,2.7394104
1.0,2099,2.0,-0.5,179.375,279.76102,2.4367676
1.0,2100,2.0,-0.5,179.375,279.99762,2.6733704
2.0,1850,2.0,0.5,180.625,277.22864,-0.09561157
2.0,1851,2.0,0.5,180.625,277.0354,-0.28884888
2.0,1852,2.0,0.5,180.625,277.2297,-0.09454346
2.0,1853,2.0,0.5,180.625,277.317,-0.0072631836
2.0,1854,2.0,0.5,180.625,277.14392,-0.18032837
2.0,1855,2.0,0.5,180.625,277.11798,-0.20626831
2.0,1856,2.0,0.5,180.625,277.32153,-0.0027160645
2.0,1857,2.0,0.5,180.625,277.4718,0.14755249
2.0,1858,2.0,0.5,180.625,277.28098,-0.043273926
2.0,1859,2.0,0.5,180.625,277.32846,0.004211426
2.0,1860,2.0,0.5,180.625,277.1768,-0.14746094
2.0,1861,2.0,0.5,180.625,277.06512,-0.25912476
2.0,1862,2.0,0.5,180.625,277.2293,-0.094940186
2.0,1863,2.0,0.5,180.625,277.20972,-0.11453247
2.0,1864,2.0,0.5,180.625,277.33875,0.01449585
2.0,1865,2.0,0.5,180.625,277.31277,-0.011474609
2.0,1866,2.0,0.5,180.625,277.40802,0.08377075
2.0,1867,2.0,0.5,180.625,277.30685,-0.01739502
2.0,1868,2.0,0.5,180.625,277.28595,-0.03829956
2.0,1869,2.0,0.5,180.625,277.3715,0.04724121
2.0,1870,2.0,0.5,180.625,277.43475,0.11050415
2.0,1871,2.0,0.5,180.625,277.39047,0.066223145
2.0,1872,2.0,0.5,180.625,277.3213,-0.002960205
2.0,1873,2.0,0.5,180.625,277.38293,0.058685303
2.0,1874,2.0,0.5,180.625,277.2969,-0.02734375
2.0,1875,2.0,0.5,180.625,277.44577,0.121520996
2.0,1876,2.0,0.5,180.625,277.22687,-0.09738159
2.0,1877,2.0,0.5,180.625,277.32098,-0.0032653809
2.0,1878,2.0,0.5,180.625,277.26508,-0.059173584
2.0,1879,2.0,0.5,180.625,277.54593,0.22167969
2.0,1880,2.0,0.5,180.625,277.25992,-0.064331055
2.0,1881,2.0,0.5,180.625,277.28256,-0.04168701
2.0,1882,2.0,0.5,180.625,277.2076,-0.11663818
2.0,1883,2.0,0.5,180.625,277.37094,0.046691895
2.0,1884,2.0,0.5,180.625,276.93225,-0.3919983
2.0,1885,2.0,0.5,180.625,276.92792,-0.3963318
2.0,1886,2.0,0.5,180.625,277.03433,-0.289917
2.0,1887,2.0,0.5,180.625,277.1744,-0.14984131
2.0,1888,2.0,0.5,180.625,277.32257,-0.0016784668
2.0,1889,2.0,0.5,180.625,277.39496,0.07070923
2.0,1890,2.0,0.5,180.625,277.3567,0.032440186
2.0,1891,2.0,0.5,180.625,277.52084,0.19659424
2.0,1892,2.0,0.5,180.625,277.39554,0.07128906
2.0,1893,2.0,0.5,180.625,277.48474,0.16049194
2.0,1894,2.0,0.5,180.625,277.4496,0.1253357
2.0,1895,2.0,0.5,180.625,277.49362,0.16937256
2.0,1896,2.0,0.5,180.625,277.63266,0.30841064
2.0,1897,2.0,0.5,180.625,277.58337,0.25912476
2.0,1898,2.0,0.5,180.625,277.5644,0.24014282
2.0,1899,2.0,0.5,180.625,277.5947,0.27044678
2.0,1900,2.0,0.5,180.625,277.74265,0.418396
2.0,1901,2.0,0.5,180.625,277.5146,0.19033813
2.0,1902,2.0,0.5,180.625,277.4286,0.1043396
2.0,1903,2.0,0.5,180.625,277.33728,0.013031006
2.0,1904,2.0,0.5,180.625,277.6743,0.35003662
2.0,1905,2.0,0.5,180.625,277.7777,0.4534607
2.0,1906,2.0,0.5,180.625,277.68988,0.3656311
2.0,1907,2.0,0.5,180.625,277.5723,0.24804688
2.0,1908,2.0,0.5,180.625,277.51886,0.1946106
2.0,1909,2.0,0.5,180.625,277.80698,0.48272705
2.0,1910,2.0,0.5,180.625,277.83862,0.5143738
2.0,1911,2.0,0.5,180.625,277.81354,0.48928833
2.0,1912,2.0,0.5,180.625,277.36096,0.036712646
2.0,1913,2.0,0.5,180.625,277.24704,-0.07720947
2.0,1914,2.0,0.5,180.625,277.5631,0.23886108
2.0,1915,2.0,0.5,180.625,277.6585,0.33425903
2.0,1916,2.0,0.5,180.625,277.55396,0.22970581
2.0,1917,2.0,0.5,180.625,277.55405,0.22979736
2.0,1918,2.0,0.5,180.625,277.62524,0.30099487
2.0,1919,2.0,0.5,180.625,277.65125,0.32699585
2.0,1920,2.0,0.5,180.625,277.78488,0.46063232
2.0,1921,2.0,0.5,180.625,277.64618,0.32192993
2.0,1922,2.0,0.5,180.625,277.54752,0.2232666
2.0,1923,2.0,0.5,180.625,277.71024,0.38598633
2.0,1924,2.0,0.5,180.625,277.65125,0.32699585
2.0,1925,2.0,0.5,180.625,277.55734,0.23309326
2.0,1926,2.0,0.5,180.625,277.5915,0.26724243
2.0,1927,2.0,0.5,180.625,277.59918,0.27493286
2.0,1928,2.0,0.5,180.625,277.8377,0.51345825
2.0,1929,2.0,0.5,180.625,277.65613,0.33187866
2.0,1930,2.0,0.5,180.625,277.67633,0.3520813
2.0,1931,2.0,0.5,180.625,277.68005,0.35580444
2.0,1932,2.0,0.5,180.625,277.9005,0.5762634
2.0,1933,2.0,0.5,180.625,277.7259,0.40164185
2.0,1934,2.0,0.5,180.625,277.599,0.27474976
2.0,1935,2.0,0.5,180.625,277.54108,0.2168274
2.0,1936,2.0,0.5,180.625,277.42603,0.10177612
2.0,1937,2.0,0.5,180.625,277.40518,0.08093262
2.0,1938,2.0,0.5,180.625,277.66022,0.33596802
2.0,1939,2.0,0.5,180.625,277.5536,0.2293396
2.0,1940,2.0,0.5,180.625,277.63837,0.31411743
2.0,1941,2.0,0.5,180.625,277.46072,0.13647461
2.0,1942,2.0,0.5,180.625,277.46323,0.13897705
2.0,1943,2.0,0.5,180.625,277.50098,0.1767273
2.0,1944,2.0,0.5,180.625,277.41156,0.08731079
2.0,1945,2.0,0.5,180.625,277.3483,0.024047852
2.0,1946,2.0,0.5,180.625,277.30103,-0.023223877
2.0,1947,2.0,0.5,180.625,277.53928,0.21502686
2.0,1948,2.0,0.5,180.625,277.49173,0.16748047
2.0,1949,2.0,0.5,180.625,277.36563,0.041381836
2.0,1950,2.0,0.5,180.625,277.53918,0.2149353
2.0,1951,2.0,0.5,180.625,277.3368,0.012542725
2.0,1952,2.0,0.5,180.625,277.3719,0.04763794
2.0,1953,2.0,0.5,180.625,277.5115,0.18725586
2.0,1954,2.0,0.5,180.625,277.5216,0.19735718
2.0,1955,2.0,0.5,180.625,277.52026,0.1960144
2.0,1956,2.0,0.5,180.625,277.48123,0.15698242
2.0,1957,2.0,0.5,180.625,277.50366,0.17941284
2.0,1958,2.0,0.5,180.625,277.6468,0.32254028
2.0,1959,2.0,0.5,180.625,277.64816,0.32391357
2.0,1960,2.0,0.5,180.625,277.5747,0.25045776
2.0,1961,2.0,0.5,180.625,277.47873,0.15447998
2.0,1962,2.0,0.5,180.625,277.5357,0.2114563
2.0,1963,2.0,0.5,180.625,277.42975,0.10549927
2.0,1964,2.0,0.5,180.625,277.05106,-0.27319336
2.0,1965,2.0,0.5,180.625,277.1397,-0.1845398
2.0,1966,2.0,0.5,180.625,277.3556,0.031341553
2.0,1967,2.0,0.5,180.625,277.4069,0.0826416
2.0,1968,2.0,0.5,180.625,277.60098,0.2767334
2.0,1969,2.0,0.5,180.625,277.4697,0.14544678
2.0,1970,2.0,0.5,180.625,277.35995,0.035705566
2.0,1971,2.0,0.5,180.625,277.3632,0.03894043
2.0,1972,2.0,0.5,180.625,277.55716,0.23291016
2.0,1973,2.0,0.5,180.625,277.72714,0.40289307
2.0,1974,2.0,0.5,180.625,277.47906,0.15481567
2.0,1975,2.0,0.5,180.625,277.2652,-0.059051514
2.0,1976,2.0,0.5,180.625,277.4229,0.09866333
2.0,1977,2.0,0.5,180.625,277.51102,0.18676758
2.0,1978,2.0,0.5,180.625,277.3496,0.025360107
2.0,1979,2.0,0.5,180.625,277.35754,0.033294678
2.0,1980,2.0,0.5,180.625,277.27908,-0.045166016
2.0,1981,2.0,0.5,180.625,277.49106,0.16680908
2.0,1982,2.0,0.5,180.625,277.57092,0.24667358
2.0,1983,2.0,0.5,180.625,277.3803,0.05606079
2.0,1984,2.0,0.5,180.625,277.35934,0.035095215
2.0,1985,2.0,0.5,180.625,277.39017,0.06591797
2.0,1986,2.0,0.5,180.625,277.6177,0.29345703
2.0,1987,2.0,0.5,180.625,277.77805,0.4537964
2.0,1988,2.0,0.5,180.625,277.5776,0.25335693
2.0,1989,2.0,0.5,180.625,277.64432,0.32006836
2.0,1990,2.0,0.5,180.625,277.91953,0.5952759
2.0,1991,2.0,0.5,180.625,278.001,0.6767578
2.0,1992,2.0,0.5,180.625,277.25174,-0.072509766
2.0,1993,2.0,0.5,180.625,277.30975,-0.01449585
2.0,1994,2.0,0.5,180.625,277.50162,0.17736816
2.0,1995,2.0,0.5,180.625,277.5225,0.19824219
2.0,1996,2.0,0.5,180.625,277.6702,0.34594727
2.0,1997,2.0,0.5,180.625,277.70218,0.3779297
2.0,1998,2.0,0.5,180.625,277.766,0.44174194
2.0,1999,2.0,0.5,180.625,277.84955,0.5252991
2.0,2000,2.0,0.5,180.625,277.94406,0.619812
2.0,2001,2.0,0.5,180.625,278.06226,0.7380066
2.0,2002,2.0,0.5,180.625,278.03198,0.70773315
2.0,2003,2.0,0.5,180.625,278.001,0.6767578
2.0,2004,2.0,0.5,180.625,277.99435,0.670105
2.0,2005,2.0,0.5,180.625,278.01666,0.69241333
2.0,2006,2.0,0.5,180.625,277.94293,0.61868286
2.0,2007,2.0,0.5,180.625,277.91516,0.59091187
2.0,2008,2.0,0.5,180.625,277.96628,0.6420288
2.0,2009,2.0,0.5,180.625,278.1753,0.8510437
2.0,2010,2.0,0.5,180.625,278.1045,0.7802429
2.0,2011,2.0,0.5,180.625,278.09766,0.773407
2.0,2012,2.0,0.5,180.625,278.20468,0.8804321
2.0,2013,2.0,0.5,180.625,278.20956,0.88531494
2.0,2014,2.0,0.5,180.625,278.0566,0.73236084
2.0,2015,2.0,0.5,180.625,278.13507,0.81082153
2.0,2016,2.0,0.5,180.625,278.49167,1.1674194
2.0,2017,2.0,0.5,180.625,278.604,1.2797546
2.0,2018,2.0,0.5,180.625,278.70023,1.3759766
2.0,2019,2.0,0.5,180.625,278.6755,1.3512573
2.0,2020,2.0,0.5,180.625,278.42917,1.1049194
2.0,2021,2.0,0.5,180.625,278.48978,1.1655273
2.0,2022,2.0,0.5,180.625,278.67694,1.3526917
2.0,2023,2.0,0.5,180.625,278.71472,1.3904724
2.0,2024,2.0,0.5,180.625,278.58685,1.2626038
2.0,2025,2.0,0.5,180.625,278.64865,1.3244019
2.0,2026,2.0,0.5,180.625,278.78305,1.4588013
2.0,2027,2.0,0.5,180.625,278.5881,1.263855
2.0,2028,2.0,0.5,180.625,278.6514,1.3271484
2.0,2029,2.0,0.5,180.625,278.61844,1.2941895
2.0,2030,2.0,0.5,180.625,278.9181,1.5938416
2.0,2031,2.0,0.5,180.625,278.71268,1.3884277
2.0,2032,2.0,0.5,180.625,278.85257,1.5283203
2.0,2033,2.0,0.5,180.625,278.66342,1.3391724
2.0,2034,2.0,0.5,180.625,278.8276,1.5033569
2.0,2035,2.0,0.5,180.625,279.04764,1.7233887
2.0,2036,2.0,0.5,180.625,279.01694,1.692688
2.0,2037,2.0,0.5,180.625,278.9942,1.6699524
2.0,2038,2.0,0.5,180.625,279.07928,1.7550354
2.0,2039,2.0,0.5,180.625,278.90665,1.5823975
2.0,2040,2.0,0.5,180.625,278.8492,1.5249634
2.0,2041,2.0,0.5,180.625,278.84378,1.5195312
2.0,2042,2.0,0.5,180.625,278.7676,1.4433594
2.0,2043,2.0,0.5,180.625,278.9137,1.589447
2.0,2044,2.0,0.5,180.625,278.9093,1.5850525
2.0,2045,2.0,0.5,180.625,278.91293,1.5886841
2.0,2046,2.0,0.5,180.625,279.00162,1.6773682
2.0,2047,2.0,0.5,180.625,279.1194,1.7951355
2.0,2048,2.0,0.5,180.625,278.93076,1.6065063
2.0,2049,2.0,0.5,180.625,279.34686,2.0226135
2.0,2050,2.0,0.5,180.625,279.11078,1.7865295
2.0,2051,2.0,0.5,180.625,279.08014,1.7558899
2.0,2052,2.0,0.5,180.625,279.10416,1.7799072
2.0,2053,2.0,0.5,180.625,279.33847,2.0142212
2.0,2054,2.0,0.5,180.625,279.13464,1.8103943
2.0,2055,2.0,0.5,180.625,279.27573,1.951477
2.0,2056,2.0,0.5,180.625,279.40656,2.082306
2.0,2057,2.0,0.5,180.625,279.58145,2.2572021
2.0,2058,2.0,0.5,180.625,279.242,1.9177551
2.0,2059,2.0,0.5,180.625,279.39322,2.0689697
2.0,2060,2.0,0.5,180.625,279.50772,2.1834717
2.0,2061,2.0,0.5,180.625,279.64682,2.3225708
2.0,2062,2.0,0.5,180.625,279.38535,2.0610962
2.0,2063,2.0,0.5,180.625,279.4185,2.0942383
2.0,2064,2.0,0.5,180.625,279.5149,2.1906433
2.0,2065,2.0,0.5,180.625,279.28427,1.960022
2.0,2066,2.0,0.5,180.625,279.33615,2.0119019
2.0,2067,2.0,0.5,180.625,279.5045,2.1802368
2.0,2068,2.0,0.5,180.625,279.47156,2.1473083
2.0,2069,2.0,0.5,180.625,279.45126,2.1270142
2.0,2070,2.0,0.5,180.625,279.37918,2.0549316
2.0,2071,2.0,0.5,180.625,279.32925,2.005005
2.0,2072,2.0,0.5,180.625,279.57388,2.2496338
2.0,2073,2.0,0.5,180.625,279.72818,2.4039307
2.0,2074,2.0,0.5,180.625,279.59143,2.2671814
2.0,2075,2.0,0.5,180.625,279.60452,2.2802734
2.0,2076,2.0,0.5,180.625,279.73956,2.4153137
2.0,2077,2.0,0.5,180.625,279.94516,2.6209106
2.0,2078,2.0,0.5,180.625,279.6718,2.3475647
2.0,2079,2.0,0.5,180.625,279.7876,2.4633484
2.0,2080,2.0,0.5,180.625,279.9653,2.6410522
2.0,2081,2.0,0.5,180.625,279.72177,2.397522
2.0,2082,2.0,0.5,180.625,279.94852,2.6242676
2.0,2083,2.0,0.5,180.625,279.97812,2.6538696
2.0,2084,2.0,0.5,180.625,279.72464,2.4003906
2.0,2085,2.0,0.5,180.625,279.83038,2.506134
2.0,2086,2.0,0.5,180.625,280.015,2.6907654
2.0,2087,2.0,0.5,180.625,279.64374,2.3194885
2.0,2088,2.0,0.5,180.625,279.80838,2.4841309
2.0,2089,2.0,0.5,180.625,280.0589,2.7346497
2.0,2090,2.0,0.5,180.625,280.02444,2.7001953
2.0,2091,2.0,0.5,180.625,279.72916,2.4049072
2.0,2092,2.0,0.5,180.625,279.82605,2.5018005
2.0,2093,2.0,0.5,180.625,279.77536,2.4511108
2.0,2094,2.0,0.5,180.625,279.93576,2.6115112
2.0,2095,2.0,0.5,180.625,280.2393,2.915039
2.0,2096,2.0,0.5,180.625,279.8371,2.512848
2.0,2097,2.0,0.5,180.625,279.962,2.6377563
2.0,2098,2.0,0.5,180.625,280.06366,2.7394104
2.0,2099,2.0,0.5,180.625,279.76102,2.4367676
2.0,2100,2.0,0.5,180.625,279.99762,2.6733704
